Posting Date,Entry Type,Document Type,Document No.,Item No.,Description,Brand Code,Production Date,Expiration Date,Lot No.,Location Code,Quantity,Invoiced Quantity,Remaining Quantity,Net Weight,Quantity (Source UOM),Sales Amount (Actual),Cost Amount (Actual),Cost Amount (Non-Invtbl.),Open,Order Type,Entry No.,Item Category Code,Product Group Code
4/29/2019,Purchase,Purchase Receipt,RCP107545,01-11-003-NC,"Non-Cert. Green Slicing Tomatoes, 18 lb...",,,4/29/2020,STC-119,DURHAM,1,1,0,0,1,0,36,0,No, ,3484,TOMATOES,
4/29/2019,Sale,Sales Shipment,SHP102871,03-26-001-NC,"Non-Cert. Canola Oil, Expeller-Pressed GMO-Fre",,,,BUG-075,DURHAM,-2,-2,0,0,-2,83.4,-61.5,0,No, ,3483,OIL,
4/29/2019,Sale,Sales Shipment,SHP102871,01-18-013-NC,"Non-Cert. MIXED Head Lettuce, 7 lb...",,,4/23/2020,G-CPP-113,DURHAM,-2,-2,0,0,-2,73,-55,0,No, ,3482,LETTUCE,
4/29/2019,Sale,Sales Shipment,SHP102870,01-18-013-NC,"Non-Cert. MIXED Head Lettuce, 7 lb...",,,4/23/2020,G-CPP-113,DURHAM,-2,-2,0,0,-2,73,-55,0,No, ,3481,LETTUCE,
4/29/2019,Sale,Sales Shipment,SHP102869,01-60-006-OG,"OG Purple-Top Turnips, 10 lb...",,,4/24/2020,G-CO-114,DURHAM,-1,-1,0,0,-1,19,-15,0,No, ,3480,TURNIPS,
4/29/2019,Sale,Sales Shipment,SHP102869,01-11-007-NC,"Non-Cert. Red Slicing Tomatoes, 18 lb...",,,4/24/2020,G-STC-114,DURHAM,-3,-3,0,0,-3,129,-108,0,No, ,3479,TOMATOES,
4/29/2019,Sale,Sales Shipment,SHP102869,01-06-013-OG,"OG Vidalia Onions, 40 lb.....",,,4/22/2020,G-OS-113,DURHAM,-1,-1,0,0,-1,40,-29.5,0,No, ,3478,ONIONS,
4/29/2019,Sale,Sales Shipment,SHP102868,02-01-025-OG,"OG Strawberries, 8 x 1 lb...",,,4/26/2020,G-UH-116,DURHAM,-3,-3,0,0,-3,87,-75,0,No, ,3477,BERRIES,
4/29/2019,Sale,Sales Shipment,SHP102867,01-60-006-OG,"OG Purple-Top Turnips, 10 lb...",,,4/24/2020,G-CO-114,DURHAM,-1,-1,0,0,-1,19,-15,0,No, ,3476,TURNIPS,
4/29/2019,Sale,Sales Shipment,SHP102867,01-46-009-OG,"OG Covington Sweet Potatoes, JUMBO, 40 lb...",,,4/26/2020,G-WT-116,DURHAM,-1,-1,0,0,-1,26,-18,0,No, ,3475,SWEET POTATOES,
4/29/2019,Sale,Sales Shipment,SHP102867,01-04-024-OG,"OG Green Kale, loose, 20 lb.",,,4/24/2020,G-CO-114,DURHAM,-1,-1,0,-20,-1,26,-18,0,No, ,3474,KALES,
4/29/2019,Sale,Sales Shipment,SHP102867,02-01-025-OG,"OG Strawberries, 8 x 1 lb...",,,4/26/2020,G-UH-116,DURHAM,-1,-1,0,0,-1,29,-25,0,No, ,3473,BERRIES,
4/29/2019,Sale,Sales Shipment,SHP102866,03-33-005-NC,"Non-Cert. Scuppernong Jelly, 1/2 gallon jar..",,,1/1/2020,TCF-075,DURHAM,-1,-1,0,0,-1,30,-22,0,No, ,3472,GROC JELLIES JAM,
